Image,TrueClass,PredictedClass,Confidence,Correct
_Field Caramuru 04_BM-128_1_DSCF0086.jpg,Animals,Animals,0.9764,True
_Field Caramuru 04_BM-156_1_DSCF0028.jpg,Animals,Animals,1.0,True
_Field Caramuru 04_BM-156_1_DSCF0042.jpg,Animals,Animals,1.0,True
_Field Caramuru 04_BM-156_1_DSCF0051.jpg,Animals,Animals,0.9349,True
_Field Caramuru 04_BM-158_1_DSCF0073.jpg,Animals,Animals,0.9999,True
_Field Caramuru 04_BM-158_1_DSCF0078.jpg,Animals,Animals,1.0,True
_Field Caramuru 04_BM-193_1_DSCF0251.jpg,Animals,Animals,0.9798,True
_Field Caramuru 04_BM-193_1_DSCF0252.jpg,Animals,Animals,0.9859,True
_Field Caramuru 04_BM-194_1_DSCF0065.jpg,Animals,Insects,0.9379,False
_Field Caramuru 04_BM-202_1_DSCF0028.jpg,Animals,Animals,0.9988,True
_Field Caramuru 04_BM-202_1_DSCF0070.jpg,Animals,Animals,0.9999,True
_Field Caramuru 05_BM-094_1_DSCF0014.jpg,Animals,Animals,0.9997,True
_Field Caramuru 05_BM-094_1_DSCF0015.jpg,Animals,Animals,0.9974,True
_Field Caramuru 05_BM-095_1_DSCF0067.jpg,Animals,Animals,0.9876,True
_Field Caramuru 05_BM-095_1_DSCF0070.jpg,Animals,Animals,0.937,True
_Field Caramuru 05_BM-098_1_DSCF0065.jpg,Animals,Animals,1.0,True
_Field Caramuru 05_BM-098_1_DSCF0071.jpg,Animals,Animals,1.0,True
_Field Caramuru 05_BM-098_1_DSCF0085.jpg,Animals,Animals,1.0,True
_Field Caramuru 05_BM-099_1_DSCF0004.jpg,Animals,Animals,0.8384,True
_Field Caramuru 05_BM-099_1_DSCF0014.jpg,Animals,Animals,1.0,True
_Field Caramuru 05_BM-099_1_DSCF0026.jpg,Animals,Animals,1.0,True
_Field Caramuru 05_BM-099_1_DSCF0034.jpg,Animals,Animals,1.0,True
_Field Caramuru 05_BM-099_1_DSCF0036.jpg,Animals,Animals,1.0,True
_Field Caramuru 05_BM-099_1_DSCF0048.jpg,Animals,Animals,1.0,True
_Field Caramuru 05_BM-099_1_DSCF0057.jpg,Animals,Animals,1.0,True
_Field Caramuru 05_BM-099_1_DSCF0058.jpg,Animals,Animals,0.9998,True
_Field Caramuru 05_BM-099_1_DSCF0071.jpg,Animals,Animals,1.0,True
_Field Caramuru 05_BM-102_1_DSCF0022.jpg,Animals,Animals,0.9919,True
_Field Caramuru 05_BM-102_1_DSCF0024.jpg,Animals,Animals,0.9999,True
_Field Caramuru 05_BM-102_1_DSCF0040.jpg,Animals,Animals,1.0,True
_Field Caramuru 05_BM-102_1_DSCF0048.jpg,Animals,Animals,0.9985,True
_Field Caramuru 05_BM-116_1_DSCF0023.jpg,Animals,Animals,1.0,True
_Field Caramuru 05_BM-116_1_DSCF0024.jpg,Animals,Animals,1.0,True
_Field Caramuru 05_BM-116_1_DSCF0026.jpg,Animals,Animals,1.0,True
_Field Caramuru 05_BM-116_1_DSCF0037.jpg,Animals,Animals,1.0,True
_Field Caramuru 05_BM-116_1_DSCF0044.jpg,Animals,Animals,1.0,True
_Field Caramuru 05_BM-116_1_DSCF0083.jpg,Animals,Animals,1.0,True
_Field Caramuru 05_BM-116_1_DSCF0092.jpg,Animals,Animals,0.9998,True
_Field Caramuru 06_BM-112_1_DSCF0059.jpg,Animals,Insects,0.9943,False
_Field Caramuru 06_BM-118_1_DSCF0023.jpg,Animals,Animals,0.9998,True
_Field Caramuru 06_BM-118_1_DSCF0026.jpg,Animals,Animals,0.9995,True
_Field Caramuru 06_BM-118_1_DSCF0031.jpg,Animals,Animals,0.9999,True
_Field Caramuru 06_BM-118_1_DSCF0035.jpg,Animals,Animals,0.9977,True
_Field Caramuru 06_BM-118_1_DSCF0036.jpg,Animals,Animals,0.9931,True
_Field Caramuru 06_BM-118_1_DSCF0736.jpg,Animals,Animals,0.9996,True
_Field Caramuru 06_BM-118_1_DSCF0737.jpg,Animals,Animals,0.9988,True
_Field Caramuru 06_BM-118_1_DSCF0738.jpg,Animals,Animals,0.9998,True
_Field Caramuru 06_BM-118_2_DSCF0062.jpg,Animals,Animals,0.9995,True
_Field Caramuru 06_BM-119_1_DSCF0026.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-119_1_DSCF0241.jpg,Animals,Animals,0.9995,True
_Field Caramuru 06_BM-121_1_DSCF0020.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-121_1_DSCF0021.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-121_1_DSCF0026.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-121_1_DSCF0096.jpg,Animals,Animals,0.9998,True
_Field Caramuru 06_BM-123_1_DSCF0137.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-123_1_DSCF0138.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-192_1_DSCF0082.jpg,Animals,Animals,0.9999,True
_Field Caramuru 06_BM-192_2_DSCF0026.jpg,Animals,Animals,0.9004,True
_Field Caramuru 06_BM-192_2_DSCF0027.jpg,Animals,Animals,0.6691,True
_Field Caramuru 06_BM-219_1_DSCF0056.jpg,Animals,Animals,0.9372,True
_Field Caramuru 06_BM-219_1_DSCF0064.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-219_1_DSCF0065.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-219_2_DSCF0022.jpg,Animals,Animals,0.9982,True
_Field Caramuru 06_BM-219_2_DSCF0024.jpg,Animals,Animals,0.991,True
_Field Caramuru 06_BM-219_2_DSCF0148.jpg,Animals,Animals,0.9998,True
_Field Caramuru 06_BM-219_2_DSCF0151.jpg,Animals,Animals,0.9998,True
_Field Caramuru 06_BM-219_2_DSCF0153.jpg,Animals,Animals,0.7552,True
_Field Caramuru 06_BM-224_2_DSCF0165.jpg,Animals,Animals,0.989,True
_Field Caramuru 06_BM-225_1_DSCF0080.jpg,Animals,Animals,0.9969,True
_Field Caramuru 06_BM-225_1_DSCF0081.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-225_1_DSCF0082.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-225_1_DSCF0089.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-225_1_DSCF0097.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-225_1_DSCF0113.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-225_1_DSCF0123.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-225_1_DSCF0128.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-225_1_DSCF0148.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-225_1_DSCF0157.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-225_1_DSCF0164.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-225_1_DSCF0167.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-225_1_DSCF0173.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-225_1_DSCF0181.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-225_1_DSCF0189.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-225_1_DSCF0190.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-225_1_DSCF0202.jpg,Animals,Insects,0.9152,False
_Field Caramuru 06_BM-225_1_DSCF0206.jpg,Animals,Animals,0.9985,True
_Field Caramuru 06_BM-225_1_DSCF0210.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-225_1_DSCF0287.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-225_1_DSCF0317.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-225_2_DSCF0022.jpg,Animals,Animals,0.8912,True
_Field Caramuru 06_BM-225_2_DSCF0121.jpg,Animals,Animals,0.9927,True
_Field Caramuru 06_BM-225_2_DSCF0140.jpg,Animals,Animals,0.9986,True
_Field Caramuru 06_BM-225_2_DSCF0152.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-225_2_DSCF0161.jpg,Animals,Animals,0.9934,True
_Field Caramuru 06_BM-231_1_DSCF0024.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-231_1_DSCF0025.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-231_1_DSCF0034.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-231_1_DSCF0036.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-231_1_DSCF0040.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-231_1_DSCF0054.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-231_1_DSCF0058.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-231_1_DSCF0067.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-231_1_DSCF0086.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-231_1_DSCF0087.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-231_1_DSCF0110.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-231_1_DSCF0120.jpg,Animals,Animals,0.9743,True
_Field Caramuru 06_BM-231_2_DSCF0051.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-231_2_DSCF0064.jpg,Animals,Animals,0.9555,True
_Field Caramuru 06_BM-231_2_DSCF0066.jpg,Animals,Animals,0.9933,True
_Field Caramuru 06_BM-231_2_DSCF0077.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-231_2_DSCF0078.jpg,Animals,Animals,1.0,True
_Field Caramuru 06_BM-231_2_DSCF0114.jpg,Animals,Animals,0.9894,True
_Field Caramuru 06_BM-231_2_DSCF0194.jpg,Animals,Animals,1.0,True
_Field Favali 02_BM-077_1_DSCF0029.jpg,Animals,Animals,1.0,True
_Field Favali 02_BM-077_1_DSCF0040.jpg,Animals,Animals,1.0,True
_Field Favali 02_BM-077_1_DSCF0043.jpg,Animals,Animals,0.9996,True
_Field Favali 02_BM-077_1_DSCF0046.jpg,Animals,Animals,1.0,True
_Field Favali 02_BM-077_1_DSCF0058.jpg,Animals,Animals,0.9804,True
_Field Favali 02_BM-077_1_DSCF0097.jpg,Animals,Animals,0.9956,True
_Field Favali 02_BM-077_3_DSCF0210.jpg,Animals,Animals,0.9877,True
_Field Favali 02_BM-079_2_DSCF0039.jpg,Animals,Animals,0.9453,True
_Field Favali 02_BM-079_3_DSCF0025.jpg,Animals,Animals,0.8878,True
_Field Favali 02_BM-079_3_DSCF0026.jpg,Animals,Animals,0.6871,True
_Field Favali 02_BM-079_3_DSCF0028.jpg,Animals,Animals,0.8875,True
_Field Favali 02_BM-079_3_DSCF0029.jpg,Animals,Animals,0.8821,True
_Field Favali 02_BM-079_3_DSCF0037.jpg,Animals,Animals,0.8883,True
_Field Favali 02_BM-085_1_DSCF0473.jpg,Animals,Animals,0.5402,True
_Field Favali 02_BM-085_1_DSCF0475.jpg,Animals,Animals,1.0,True
_Field Favali 02_BM-085_1_DSCF0493.jpg,Animals,Animals,0.9997,True
_Field Favali 02_BM-085_1_DSCF0495.jpg,Animals,Animals,1.0,True
_Field Favali 02_BM-085_1_DSCF0500.jpg,Animals,Animals,1.0,True
_Field Favali 02_BM-085_1_DSCF0502.jpg,Animals,Animals,0.9903,True
_Field Jamaica 01_BM-130_1_DSCF2902.jpg,Animals,Animals,0.4998,True
_Field Jamaica 01_BM-130_1_DSCF2907.jpg,Animals,Animals,1.0,True
_Field Jamaica 01_BM-209_1_DSCF0176.jpg,Animals,Animals,0.9941,True
_Field Jamaica 02_BM-212_1_DSCF0022.jpg,Animals,Animals,0.9996,True
_Field Jamaica 02_BM-235_1_DSCF0024.jpg,Animals,Animals,1.0,True
_Field Jamaica 02_BM-235_1_DSCF0026.jpg,Animals,Animals,1.0,True
_Field Jamaica 02_BM-235_1_DSCF0094.jpg,Animals,Animals,1.0,True
_Field Jamaica 02_BM-235_1_DSCF0096.jpg,Animals,Animals,0.9926,True
_Field Kayabi 3_BM-003_1_DSCF0114.jpg,Animals,Animals,0.9994,True
_Field Kayabi 4_BM-026_1_DSCF0004.jpg,Animals,Animals,1.0,True
_Field Kayabi 4_BM-026_1_DSCF0041.jpg,Animals,Animals,1.0,True
_Field Kayabi 4_BM-029_1_DSCF0055.jpg,Animals,Animals,1.0,True
_Field Kayabi 4_BM-029_1_DSCF0061.jpg,Animals,Animals,1.0,True
_Field Kayabi 4_BM-029_1_DSCF0086.jpg,Animals,Animals,0.9964,True
_Field Kayabi 4_BM-029_1_DSCF0152.jpg,Animals,Animals,1.0,True
_Field Kayabi 4_BM-035_1_DSCF0022.jpg,Animals,Animals,1.0,True
_Field Kayabi 4_BM-035_1_DSCF0023.jpg,Animals,Animals,1.0,True
_Field Kayabi 4_BM-035_1_DSCF0057.jpg,Animals,Animals,1.0,True
_Field Kayabi 4_BM-035_1_DSCF0061.jpg,Animals,Animals,1.0,True
_Field Kayabi 4_BM-035_1_DSCF0068.jpg,Animals,Animals,1.0,True
_Field Kayabi 4_BM-035_1_DSCF0069.jpg,Animals,Animals,1.0,True
_Field Kayabi 5_BM-001_1_DSCF0161.jpg,Animals,Animals,0.9903,True
_Field Kayabi 5_BM-001_1_DSCF0181.jpg,Animals,Animals,0.9976,True
_Field Kayabi 5_BM-001_1_DSCF0198.jpg,Animals,Animals,0.9908,True
_Field Kayabi 5_BM-001_1_DSCF0202.jpg,Animals,Animals,0.9533,True
_Field Kayabi 5_BM-016_2_DSCF0077.jpg,Animals,Animals,1.0,True
_Field Kayabi 5_BM-030_1_DSCF0092.jpg,Animals,Animals,1.0,True
_Field Kayabi 5_BM-030_1_DSCF0094.jpg,Animals,Animals,1.0,True
_Field Kayabi 5_BM-031_1_DSCF0239.jpg,Animals,Animals,1.0,True
_Field Kayabi 5_BM-031_1_DSCF0246.jpg,Animals,Animals,1.0,True
_Field Kayabi 5_BM-031_1_DSCF0248.jpg,Animals,Animals,1.0,True
_Field Kayabi 5_BM-031_1_DSCF0269.jpg,Animals,Animals,0.9786,True
_Field Kayabi 5_BM-031_1_DSCF0272.jpg,Animals,Animals,0.9999,True
_Field Kayabi 5_BM-031_1_DSCF0283.jpg,Animals,Animals,1.0,True
_Field Kayabi 5_BM-032_1_DSCF0039.jpg,Animals,Animals,1.0,True
_Field Kayabi 5_BM-032_1_DSCF0049.jpg,Animals,Animals,0.9396,True
_Field Kayabi 5_BM-032_1_DSCF0050.jpg,Animals,Animals,0.9175,True
_Field Kobayashi 01_BM-082_1_DSCF0093.jpg,Animals,Animals,0.9998,True
_Field Kobayashi 01_BM-131_1_DSCF0039.jpg,Animals,Animals,0.9497,True
_Field Kobayashi 01_BM-131_1_DSCF0078.jpg,Animals,Animals,1.0,True
_Field Kobayashi 01_BM-131_1_DSCF0082.jpg,Animals,Animals,0.9993,True
_Field Kobayashi 01_BM-131_1_DSCF0088.jpg,Animals,Animals,1.0,True
_Field Kobayashi 01_BM-131_1_DSCF0089.jpg,Animals,Animals,1.0,True
_Field Kobayashi 01_BM-131_1_DSCF0092.jpg,Animals,Animals,1.0,True
_Field Kobayashi 01_BM-131_1_DSCF0093.jpg,Animals,Animals,1.0,True
_Field Kobayashi 01_BM-131_1_DSCF0096.jpg,Animals,Animals,1.0,True
_Field Kobayashi 01_BM-131_1_DSCF0099.jpg,Animals,Animals,0.997,True
_Field Kobayashi 01_BM-131_1_DSCF0100.jpg,Animals,Animals,0.9999,True
_Field Kobayashi 01_BM-150_1_DSCF0007.jpg,Animals,Insects,0.7104,False
_Field Kobayashi 01_BM-150_1_DSCF0009.jpg,Animals,Animals,1.0,True
_Field Kobayashi 01_BM-150_1_DSCF0014.jpg,Animals,Animals,1.0,True
_Field Kobayashi 01_BM-150_1_DSCF0025.jpg,Animals,Animals,0.9982,True
_Field Kobayashi 01_BM-150_1_DSCF0034.jpg,Animals,Animals,0.9979,True
_Field Kobayashi 01_BM-175_1_DSCF0170.jpg,Animals,Animals,0.9984,True
_Field Kobayashi 01_BM-175_1_DSCF0199.jpg,Animals,Animals,1.0,True
_Field Kobayashi 01_BM-175_1_DSCF0203.jpg,Animals,Animals,1.0,True
_Field Kobayashi 01_BM-175_1_DSCF0204.jpg,Animals,Animals,1.0,True
_Field Kobayashi 01_BM-175_1_DSCF0262.jpg,Animals,Animals,1.0,True
_Field Kobayashi 01_BM-175_1_DSCF0274.jpg,Animals,Animals,1.0,True
_Field Kobayashi 01_BM-175_1_DSCF0275.jpg,Animals,Animals,1.0,True
_Field Kobayashi 01_BM-175_1_DSCF0284.jpg,Animals,Animals,1.0,True
_Field Kobayashi 01_BM-175_1_DSCF0288.jpg,Animals,Insects,0.9863,False
_Field Kobayashi 01_BM-220_1_DSCF0072.jpg,Animals,Animals,1.0,True
_Field Lina 08_BM-181_1_DSCF0010.jpg,Animals,Animals,1.0,True
_Field Lina 08_BM-181_1_DSCF0012.jpg,Animals,Animals,1.0,True
_Field Lina 08_BM-181_2_DSCF0030.jpg,Animals,Animals,0.9458,True
_Field Lina 08_BM-181_2_DSCF0043.jpg,Animals,Animals,1.0,True
_Field Lina 08_BM-181_2_DSCF0044.jpg,Animals,Animals,1.0,True
_Field Lina 08_BM-218_1_DSCF0022.jpg,Animals,Animals,0.9987,True
_Field Lina 08_BM-218_1_DSCF0060.jpg,Animals,Animals,0.8507,True
_Field Lina 08_BM-218_1_DSCF0076.jpg,Animals,Animals,0.9784,True
_Field Lina 08_BM-218_1_DSCF0081.jpg,Animals,Animals,0.9283,True
_Field Lina 08_BM-218_1_DSCF0168.jpg,Animals,Animals,0.9877,True
_Field Lina 08_BM-218_1_DSCF0181.jpg,Animals,Animals,0.9982,True
_Field Lina 08_BM-218_1_DSCF0201.jpg,Animals,Animals,0.9999,True
_Field Lina 08_BM-218_1_DSCF0206.jpg,Animals,Animals,0.9998,True
_Field Lina 08_BM-218_1_DSCF0207.jpg,Animals,Animals,0.9999,True
_Field Lina 08_BM-218_1_DSCF0228.jpg,Animals,Animals,0.9999,True
_Field Lina 08_BM-218_1_DSCF0254.jpg,Animals,Animals,0.9849,True
_Field Lina 08_BM-218_1_DSCF0276.jpg,Animals,Animals,0.9326,True
_Field Lina 08_BM-232_1_DSCF0220.jpg,Animals,Animals,0.9999,True
_Field Lina 08_BM-232_1_DSCF0223.jpg,Animals,Animals,1.0,True
_Field Lina 08_BM-232_1_DSCF0225.jpg,Animals,Animals,1.0,True
_Field Lina 08_BM-232_1_DSCF0227.jpg,Animals,Animals,1.0,True
_Field Lina 08_BM-232_1_DSCF0229.jpg,Animals,Animals,1.0,True
_Field Lina 08_BM-232_1_DSCF0230.jpg,Animals,Animals,1.0,True
_Field Lina 08_BM-232_2_DSCF0054.jpg,Animals,Animals,0.9818,True
_Field Lina 08_BM-232_2_DSCF0061.jpg,Animals,Animals,0.9787,True
_Field Lina 08_BM-232_2_DSCF0065.jpg,Animals,Animals,0.9981,True
_Field Lina 08_BM-232_2_DSCF0068.jpg,Animals,Animals,0.9858,True
_Field Lina 08_BM-232_2_DSCF0132.jpg,Animals,Animals,0.9803,True
_Field Lina 08_BM-232_2_DSCF0138.jpg,Animals,Animals,0.9942,True
_Field Lina 08_BM-232_2_DSCF0166.jpg,Animals,Animals,0.9996,True
_Field Lina 09_BM-182_1_DSCF0313.jpg,Animals,Animals,1.0,True
_Field Lina 09_BM-182_1_DSCF0318.jpg,Animals,Animals,0.982,True
_Field Lina 09_BM-182_1_DSCF0323.jpg,Animals,Animals,1.0,True
_Field Lina 09_BM-211_1_DSCF0032.jpg,Animals,Animals,0.9979,True
_Field Lina 09_BM-211_1_DSCF0040.jpg,Animals,Animals,0.9999,True
_Field Lina 09_BM-211_1_DSCF0047.jpg,Animals,Animals,1.0,True
_Field Lina 09_BM-211_1_DSCF0063.jpg,Animals,Animals,0.9996,True
_Field Lina 09_BM-211_1_DSCF0076.jpg,Animals,Animals,1.0,True
_Field Lina 09_BM-238_1_DSCF0349.jpg,Animals,Animals,0.8259,True
_Field Lina 09_BM-238_1_DSCF0384.jpg,Animals,Animals,0.6966,True
_Field Lina 09_BM-238_1_DSCF0385.jpg,Animals,Animals,0.6913,True
_Field Lina 09_BM-238_1_DSCF0392.jpg,Animals,Animals,0.9967,True
_Field Lina 09_BM-238_1_DSCF0645.jpg,Animals,Animals,0.9935,True
_Field Lina 09_BM-238_1_DSCF0646.jpg,Animals,Animals,0.9832,True
_Field Lina 09_BM-238_1_DSCF0648.jpg,Animals,Empty,0.5279,False
_Field Lina 09_BM-238_1_DSCF0696.jpg,Animals,Animals,0.9139,True
_Field Lina 09_BM-238_1_DSCF0704.jpg,Animals,Animals,0.9922,True
_Field Lina 09_BM-238_1_DSCF0714.jpg,Animals,Animals,0.9857,True
_Field Lina 09_BM-238_1_DSCF0740.jpg,Animals,Animals,0.9927,True
_Field Lina 09_BM-238_1_DSCF0742.jpg,Animals,Animals,0.9964,True
_Field Lina 09_BM-238_1_DSCF0758.jpg,Animals,Animals,0.9969,True
_Field Lina 09_BM-238_1_DSCF0760.jpg,Animals,Animals,0.9783,True
_Field Lina 09_BM-238_1_DSCF0779.jpg,Animals,Animals,1.0,True
_Field Lina 09_BM-253_1_DSCF2344.jpg,Animals,Animals,0.9998,True
_Field Lina 09_BM-253_1_DSCF2354.jpg,Animals,Animals,0.9999,True
_Field Lina 09_BM-253_1_DSCF2356.jpg,Animals,Animals,0.9998,True
_Field Lina 09_BM-253_1_DSCF2358.jpg,Animals,Animals,0.9999,True
_Field Lina 09_BM-253_1_DSCF2361.jpg,Animals,Animals,0.9995,True
_Field Lina 09_BM-253_1_DSCF2373.jpg,Animals,Animals,0.9999,True
_Field Lina 09_BM-253_1_DSCF2385.jpg,Animals,Animals,0.9998,True
_Field Lina 09_BM-253_1_DSCF2404.jpg,Animals,Animals,1.0,True
_Field Lina 09_BM-253_1_DSCF2411.jpg,Animals,Animals,1.0,True
_Field Lina 09_BM-253_1_DSCF2423.jpg,Animals,Animals,1.0,True
_Field Lina 09_BM-253_1_DSCF2436.jpg,Animals,Animals,1.0,True
_Field Lina 09_BM-253_1_DSCF2446.jpg,Animals,Animals,1.0,True
_Field Lina 09_BM-253_1_DSCF2476.jpg,Animals,Animals,1.0,True
_Field Lina 09_BM-253_1_DSCF2480.jpg,Animals,Animals,1.0,True
_Field Lina 09_BM-253_1_DSCF2481.jpg,Animals,Animals,1.0,True
_Field Lina 09_BM-253_1_DSCF2535.jpg,Animals,Animals,1.0,True
_Field Lina 09_BM-253_1_DSCF2544.jpg,Animals,Animals,1.0,True
_Field Lina 09_BM-253_1_DSCF2553.jpg,Animals,Animals,1.0,True
_Field Lina 09_BM-253_1_DSCF2566.jpg,Animals,Animals,1.0,True
_Field Lina 09_BM-253_1_DSCF2580.jpg,Animals,Animals,1.0,True
_Field Lina 09_BM-253_1_DSCF2581.jpg,Animals,Animals,1.0,True
_Field Lina 09_BM-253_1_DSCF2613.jpg,Animals,Animals,1.0,True
_Field Lina 09_BM-253_1_DSCF2618.jpg,Animals,Animals,1.0,True
_Field Lina 09_BM-253_1_DSCF2632.jpg,Animals,Animals,1.0,True
_Field Lina 09_BM-253_1_DSCF2637.jpg,Animals,Animals,1.0,True
_Field Lina 09_BM-253_1_DSCF2638.jpg,Animals,Animals,1.0,True
_Field Lina 09_BM-253_1_DSCF2645.jpg,Animals,Animals,1.0,True
_Field Lina 09_BM-253_1_DSCF2654.jpg,Animals,Animals,1.0,True
_Field Lina 09_BM-253_1_DSCF2693.jpg,Animals,Animals,1.0,True
_Field Lina 09_BM-253_1_DSCF2701.jpg,Animals,Animals,1.0,True
_Field Lina 09_BM-253_1_DSCF2717.jpg,Animals,Animals,1.0,True
_Field Lina 09_BM-253_1_DSCF2746.jpg,Animals,Animals,1.0,True
_Field Lina 09_BM-253_1_DSCF2747.jpg,Animals,Animals,1.0,True
_Field Lina 09_BM-253_1_DSCF2755.jpg,Animals,Animals,1.0,True
