Image,TrueClass,PredictedClass,Confidence,Correct
_Field Caramuru 05_BM-116_1_DSCF0037.jpg,Animals,Animals,0.9909,True
_Field Caramuru 05_BM-116_1_DSCF0044.jpg,Animals,Animals,0.9972,True
_Field Caramuru 05_BM-116_1_DSCF0083.jpg,Animals,Animals,0.9941,True
_Field Caramuru 05_BM-116_1_DSCF0092.jpg,Animals,Animals,0.9857,True
_Field Caramuru 06_BM-112_1_DSCF0059.jpg,Animals,Animals,0.5382,True
_Field Caramuru 06_BM-118_1_DSCF0023.jpg,Animals,Animals,0.8462,True
_Field Caramuru 06_BM-118_1_DSCF0026.jpg,Animals,Animals,0.983,True
_Field Caramuru 06_BM-118_1_DSCF0031.jpg,Animals,Animals,0.8963,True
_Field Caramuru 06_BM-118_1_DSCF0035.jpg,Animals,Animals,0.9873,True
_Field Caramuru 06_BM-118_1_DSCF0036.jpg,Animals,Animals,0.9571,True
_Field Caramuru 06_BM-118_1_DSCF0736.jpg,Animals,Animals,0.943,True
_Field Caramuru 06_BM-118_1_DSCF0737.jpg,Animals,Animals,0.9929,True
_Field Caramuru 06_BM-118_1_DSCF0738.jpg,Animals,Animals,0.969,True
_Field Caramuru 06_BM-118_2_DSCF0062.jpg,Animals,Insects,0.5393,False
_Field Caramuru 06_BM-119_1_DSCF0026.jpg,Animals,Animals,0.9859,True
_Field Caramuru 06_BM-119_1_DSCF0241.jpg,Animals,Animals,0.9895,True
_Field Caramuru 06_BM-121_1_DSCF0020.jpg,Animals,Animals,0.9986,True
_Field Caramuru 06_BM-121_1_DSCF0021.jpg,Animals,Animals,0.8429,True
_Field Caramuru 06_BM-121_1_DSCF0026.jpg,Animals,Animals,0.9528,True
_Field Caramuru 06_BM-121_1_DSCF0096.jpg,Animals,Animals,0.9325,True
_Field Caramuru 06_BM-123_1_DSCF0137.jpg,Animals,Animals,0.9387,True
_Field Caramuru 06_BM-123_1_DSCF0138.jpg,Animals,Animals,0.9863,True
_Field Caramuru 06_BM-192_1_DSCF0082.jpg,Animals,Animals,0.8943,True
_Field Caramuru 06_BM-192_2_DSCF0026.jpg,Animals,Animals,0.5233,True
_Field Caramuru 06_BM-192_2_DSCF0027.jpg,Animals,Animals,0.3877,True
_Field Caramuru 06_BM-219_1_DSCF0056.jpg,Animals,Animals,0.8182,True
_Field Caramuru 06_BM-219_1_DSCF0064.jpg,Animals,Animals,0.9623,True
_Field Caramuru 06_BM-219_1_DSCF0065.jpg,Animals,Animals,0.9713,True
_Field Caramuru 06_BM-219_2_DSCF0022.jpg,Animals,Animals,0.989,True
_Field Caramuru 06_BM-219_2_DSCF0024.jpg,Animals,Animals,0.9938,True
_Field Caramuru 06_BM-219_2_DSCF0148.jpg,Animals,Animals,0.7188,True
_Field Caramuru 06_BM-219_2_DSCF0151.jpg,Animals,Empty,0.6048,False
_Field Caramuru 06_BM-219_2_DSCF0153.jpg,Animals,Animals,0.4783,True
_Field Caramuru 06_BM-224_2_DSCF0165.jpg,Animals,Animals,0.9865,True
_Field Caramuru 06_BM-225_1_DSCF0080.jpg,Animals,Animals,0.9991,True
_Field Caramuru 06_BM-225_1_DSCF0081.jpg,Animals,Animals,0.9993,True
_Field Caramuru 06_BM-225_1_DSCF0082.jpg,Animals,Animals,0.9994,True
_Field Caramuru 06_BM-225_1_DSCF0089.jpg,Animals,Animals,0.999,True
_Field Caramuru 06_BM-225_1_DSCF0097.jpg,Animals,Animals,0.997,True
_Field Caramuru 06_BM-225_1_DSCF0113.jpg,Animals,Animals,0.9799,True
_Field Caramuru 06_BM-225_1_DSCF0123.jpg,Animals,Animals,0.9981,True
_Field Caramuru 06_BM-225_1_DSCF0128.jpg,Animals,Animals,0.9783,True
_Field Caramuru 06_BM-225_1_DSCF0148.jpg,Animals,Animals,0.996,True
_Field Caramuru 06_BM-225_1_DSCF0157.jpg,Animals,Animals,0.9961,True
_Field Caramuru 06_BM-225_1_DSCF0164.jpg,Animals,Animals,0.9893,True
_Field Caramuru 06_BM-225_1_DSCF0167.jpg,Animals,Animals,0.9844,True
_Field Caramuru 06_BM-225_1_DSCF0173.jpg,Animals,Animals,0.7305,True
_Field Caramuru 06_BM-225_1_DSCF0181.jpg,Animals,Animals,0.9633,True
_Field Caramuru 06_BM-225_1_DSCF0189.jpg,Animals,Animals,0.9273,True
_Field Caramuru 06_BM-225_1_DSCF0190.jpg,Animals,Animals,0.9971,True
_Field Caramuru 06_BM-225_1_DSCF0202.jpg,Animals,Animals,0.6699,True
_Field Caramuru 06_BM-225_1_DSCF0206.jpg,Animals,Animals,0.9003,True
_Field Caramuru 06_BM-225_1_DSCF0210.jpg,Animals,Animals,0.9979,True
_Field Caramuru 06_BM-225_1_DSCF0287.jpg,Animals,Animals,0.9386,True
_Field Caramuru 06_BM-225_1_DSCF0317.jpg,Animals,Animals,0.9802,True
_Field Caramuru 06_BM-225_2_DSCF0022.jpg,Animals,Animals,0.9363,True
_Field Caramuru 06_BM-225_2_DSCF0121.jpg,Animals,Empty,0.7751,False
_Field Caramuru 06_BM-225_2_DSCF0140.jpg,Animals,Insects,0.8563,False
_Field Caramuru 06_BM-225_2_DSCF0152.jpg,Animals,Animals,0.9908,True
_Field Caramuru 06_BM-225_2_DSCF0161.jpg,Animals,Insects,0.6334,False
_Field Caramuru 06_BM-231_1_DSCF0024.jpg,Animals,Animals,0.9916,True
_Field Caramuru 06_BM-231_1_DSCF0025.jpg,Animals,Animals,0.9883,True
_Field Caramuru 06_BM-231_1_DSCF0034.jpg,Animals,Animals,0.9911,True
_Field Caramuru 06_BM-231_1_DSCF0036.jpg,Animals,Animals,0.9947,True
_Field Caramuru 06_BM-231_1_DSCF0040.jpg,Animals,Animals,0.9906,True
_Field Caramuru 06_BM-231_1_DSCF0054.jpg,Animals,Animals,0.9945,True
_Field Caramuru 06_BM-231_1_DSCF0058.jpg,Animals,Animals,0.9969,True
_Field Caramuru 06_BM-231_1_DSCF0067.jpg,Animals,Animals,0.9976,True
_Field Caramuru 06_BM-231_1_DSCF0086.jpg,Animals,Animals,0.9907,True
_Field Caramuru 06_BM-231_1_DSCF0087.jpg,Animals,Animals,0.9904,True
_Field Caramuru 06_BM-231_1_DSCF0110.jpg,Animals,Animals,0.996,True
_Field Caramuru 06_BM-231_1_DSCF0120.jpg,Animals,Animals,0.7189,True
_Field Caramuru 06_BM-231_2_DSCF0051.jpg,Animals,Animals,0.9981,True
_Field Caramuru 06_BM-231_2_DSCF0064.jpg,Animals,Animals,0.9866,True
_Field Caramuru 06_BM-231_2_DSCF0066.jpg,Animals,Animals,0.9895,True
_Field Caramuru 06_BM-231_2_DSCF0077.jpg,Animals,Animals,0.9983,True
_Field Caramuru 06_BM-231_2_DSCF0078.jpg,Animals,Animals,0.9991,True
_Field Caramuru 06_BM-231_2_DSCF0114.jpg,Animals,Animals,0.9746,True
_Field Caramuru 06_BM-231_2_DSCF0194.jpg,Animals,Animals,0.9898,True
_Field Favali 02_BM-077_1_DSCF0029.jpg,Animals,Animals,0.978,True
_Field Favali 02_BM-077_1_DSCF0040.jpg,Animals,Animals,0.9933,True
_Field Favali 02_BM-077_1_DSCF0043.jpg,Animals,Animals,0.9985,True
_Field Favali 02_BM-077_1_DSCF0046.jpg,Animals,Animals,0.9822,True
_Field Favali 02_BM-077_1_DSCF0058.jpg,Animals,Animals,0.9927,True
_Field Favali 02_BM-077_1_DSCF0097.jpg,Animals,Insects,0.5377,False
_Field Favali 02_BM-077_3_DSCF0210.jpg,Animals,Animals,0.9658,True
_Field Favali 02_BM-079_2_DSCF0039.jpg,Animals,Insects,0.8776,False
_Field Favali 02_BM-079_3_DSCF0025.jpg,Animals,Animals,0.6837,True
_Field Favali 02_BM-079_3_DSCF0026.jpg,Animals,Animals,0.6949,True
_Field Favali 02_BM-079_3_DSCF0028.jpg,Animals,Animals,0.7185,True
_Field Favali 02_BM-079_3_DSCF0029.jpg,Animals,Animals,0.7224,True
_Field Favali 02_BM-079_3_DSCF0037.jpg,Animals,Animals,0.6561,True
_Field Favali 02_BM-085_1_DSCF0473.jpg,Animals,Insects,0.7112,False
_Field Favali 02_BM-085_1_DSCF0475.jpg,Animals,Animals,0.9367,True
_Field Favali 02_BM-085_1_DSCF0493.jpg,Animals,Animals,0.8221,True
_Field Favali 02_BM-085_1_DSCF0495.jpg,Animals,Animals,0.8049,True
_Field Favali 02_BM-085_1_DSCF0500.jpg,Animals,Animals,0.9252,True
_Field Favali 02_BM-085_1_DSCF0502.jpg,Animals,Animals,0.486,True
_Field Jamaica 01_BM-130_1_DSCF2902.jpg,Animals,Insects,0.5728,False
_Field Jamaica 01_BM-130_1_DSCF2907.jpg,Animals,Empty,0.5411,False
_Field Jamaica 01_BM-209_1_DSCF0176.jpg,Animals,Animals,0.9026,True
_Field Jamaica 02_BM-212_1_DSCF0022.jpg,Animals,Animals,0.6646,True
_Field Jamaica 02_BM-235_1_DSCF0024.jpg,Animals,Animals,0.9404,True
_Field Jamaica 02_BM-235_1_DSCF0026.jpg,Animals,Animals,0.8914,True
_Field Jamaica 02_BM-235_1_DSCF0094.jpg,Animals,Animals,0.9941,True
_Field Jamaica 02_BM-235_1_DSCF0096.jpg,Animals,Animals,0.9442,True
_Field Kayabi 3_BM-003_1_DSCF0114.jpg,Animals,Animals,0.7609,True
_Field Kayabi 4_BM-026_1_DSCF0004.jpg,Animals,Animals,0.7519,True
_Field Kayabi 4_BM-026_1_DSCF0041.jpg,Animals,Animals,0.9983,True
_Field Kayabi 4_BM-029_1_DSCF0055.jpg,Animals,Animals,0.9927,True
_Field Kayabi 4_BM-029_1_DSCF0061.jpg,Animals,Animals,0.9976,True
_Field Kayabi 4_BM-029_1_DSCF0086.jpg,Animals,Animals,0.9586,True
_Field Kayabi 4_BM-029_1_DSCF0152.jpg,Animals,Animals,0.9809,True
_Field Kayabi 4_BM-035_1_DSCF0022.jpg,Animals,Animals,0.9976,True
_Field Kayabi 4_BM-035_1_DSCF0023.jpg,Animals,Animals,0.9993,True
_Field Kayabi 4_BM-035_1_DSCF0057.jpg,Animals,Animals,0.9982,True
_Field Kayabi 4_BM-035_1_DSCF0061.jpg,Animals,Animals,0.9492,True
_Field Kayabi 4_BM-035_1_DSCF0068.jpg,Animals,Animals,0.9986,True
_Field Kayabi 4_BM-035_1_DSCF0069.jpg,Animals,Animals,0.9965,True
_Field Kayabi 5_BM-001_1_DSCF0161.jpg,Animals,Animals,0.9699,True
_Field Kayabi 5_BM-001_1_DSCF0181.jpg,Animals,Animals,0.7437,True
_Field Kayabi 5_BM-001_1_DSCF0198.jpg,Animals,Animals,0.9871,True
_Field Kayabi 5_BM-001_1_DSCF0202.jpg,Animals,Animals,0.9248,True
_Field Kayabi 5_BM-016_2_DSCF0077.jpg,Animals,Animals,0.9973,True
_Field Kayabi 5_BM-030_1_DSCF0092.jpg,Animals,Animals,0.9976,True
_Field Kayabi 5_BM-030_1_DSCF0094.jpg,Animals,Animals,0.9796,True
_Field Kayabi 5_BM-031_1_DSCF0239.jpg,Animals,Animals,0.9648,True
_Field Kayabi 5_BM-031_1_DSCF0246.jpg,Animals,Animals,0.9977,True
_Field Kayabi 5_BM-031_1_DSCF0248.jpg,Animals,Animals,0.9961,True
_Field Kayabi 5_BM-031_1_DSCF0269.jpg,Animals,Empty,0.5828,False
_Field Kayabi 5_BM-031_1_DSCF0272.jpg,Animals,Animals,0.961,True
_Field Kayabi 5_BM-031_1_DSCF0283.jpg,Animals,Animals,0.9832,True
_Field Kayabi 5_BM-032_1_DSCF0039.jpg,Animals,Animals,0.5971,True
_Field Kayabi 5_BM-032_1_DSCF0049.jpg,Animals,Animals,0.8903,True
_Field Kayabi 5_BM-032_1_DSCF0050.jpg,Animals,Animals,0.8809,True
_Field Kobayashi 01_BM-082_1_DSCF0093.jpg,Animals,Animals,0.9946,True
_Field Kobayashi 01_BM-131_1_DSCF0039.jpg,Animals,Animals,0.968,True
_Field Kobayashi 01_BM-131_1_DSCF0078.jpg,Animals,Animals,0.989,True
_Field Kobayashi 01_BM-131_1_DSCF0082.jpg,Animals,Animals,0.8282,True
_Field Kobayashi 01_BM-131_1_DSCF0088.jpg,Animals,Animals,0.9813,True
_Field Kobayashi 01_BM-131_1_DSCF0089.jpg,Animals,Animals,0.9775,True
_Field Kobayashi 01_BM-131_1_DSCF0092.jpg,Animals,Animals,0.995,True
_Field Kobayashi 01_BM-131_1_DSCF0093.jpg,Animals,Animals,0.9985,True
_Field Kobayashi 01_BM-131_1_DSCF0096.jpg,Animals,Animals,0.9866,True
_Field Kobayashi 01_BM-131_1_DSCF0099.jpg,Animals,Animals,0.9028,True
_Field Kobayashi 01_BM-131_1_DSCF0100.jpg,Animals,Animals,0.8425,True
_Field Kobayashi 01_BM-150_1_DSCF0007.jpg,Animals,Animals,0.7967,True
_Field Kobayashi 01_BM-150_1_DSCF0009.jpg,Animals,Animals,0.9004,True
_Field Kobayashi 01_BM-150_1_DSCF0014.jpg,Animals,Animals,0.5828,True
_Field Kobayashi 01_BM-150_1_DSCF0025.jpg,Animals,Animals,0.9713,True
_Field Kobayashi 01_BM-150_1_DSCF0034.jpg,Animals,Animals,0.9851,True
_Field Kobayashi 01_BM-175_1_DSCF0170.jpg,Animals,Insects,0.6228,False
_Field Kobayashi 01_BM-175_1_DSCF0199.jpg,Animals,Animals,0.8929,True
_Field Kobayashi 01_BM-175_1_DSCF0203.jpg,Animals,Animals,0.9599,True
_Field Kobayashi 01_BM-175_1_DSCF0204.jpg,Animals,Animals,0.9499,True
_Field Kobayashi 01_BM-175_1_DSCF0262.jpg,Animals,Animals,0.9727,True
_Field Kobayashi 01_BM-175_1_DSCF0274.jpg,Animals,Animals,0.9764,True
_Field Kobayashi 01_BM-175_1_DSCF0275.jpg,Animals,Animals,0.9582,True
_Field Kobayashi 01_BM-175_1_DSCF0284.jpg,Animals,Animals,0.7611,True
_Field Kobayashi 01_BM-175_1_DSCF0288.jpg,Animals,Animals,0.5235,True
_Field Kobayashi 01_BM-220_1_DSCF0072.jpg,Animals,Animals,0.9988,True
_Field Lina 08_BM-181_1_DSCF0010.jpg,Animals,Animals,0.9839,True
_Field Lina 08_BM-181_1_DSCF0012.jpg,Animals,Animals,0.9295,True
_Field Lina 08_BM-181_2_DSCF0030.jpg,Animals,Animals,0.725,True
_Field Lina 08_BM-181_2_DSCF0043.jpg,Animals,Animals,0.5478,True
_Field Lina 08_BM-181_2_DSCF0044.jpg,Animals,Animals,0.5118,True
_Field Lina 08_BM-218_1_DSCF0022.jpg,Animals,Animals,0.9203,True
_Field Lina 08_BM-218_1_DSCF0060.jpg,Animals,Insects,0.5055,False
_Field Lina 08_BM-218_1_DSCF0076.jpg,Animals,Animals,0.5168,True
_Field Lina 08_BM-218_1_DSCF0081.jpg,Animals,Animals,0.6132,True
_Field Lina 08_BM-218_1_DSCF0168.jpg,Animals,Animals,0.7939,True
_Field Lina 08_BM-218_1_DSCF0181.jpg,Animals,Animals,0.8252,True
_Field Lina 08_BM-218_1_DSCF0201.jpg,Animals,Animals,0.8742,True
_Field Lina 08_BM-218_1_DSCF0206.jpg,Animals,Animals,0.8559,True
_Field Lina 08_BM-218_1_DSCF0207.jpg,Animals,Animals,0.8579,True
_Field Lina 08_BM-218_1_DSCF0228.jpg,Animals,Animals,0.8942,True
_Field Lina 08_BM-218_1_DSCF0254.jpg,Animals,Animals,0.5612,True
_Field Lina 08_BM-218_1_DSCF0276.jpg,Animals,Animals,0.8451,True
_Field Lina 08_BM-232_1_DSCF0220.jpg,Animals,Animals,0.9011,True
_Field Lina 08_BM-232_1_DSCF0223.jpg,Animals,Animals,0.8887,True
_Field Lina 08_BM-232_1_DSCF0225.jpg,Animals,Insects,0.8768,False
_Field Lina 08_BM-232_1_DSCF0227.jpg,Animals,Animals,0.9509,True
_Field Lina 08_BM-232_1_DSCF0229.jpg,Animals,Animals,0.6907,True
_Field Lina 08_BM-232_1_DSCF0230.jpg,Animals,Animals,0.955,True
_Field Lina 08_BM-232_2_DSCF0054.jpg,Animals,Animals,0.9065,True
_Field Lina 08_BM-232_2_DSCF0061.jpg,Animals,Animals,0.8682,True
_Field Lina 08_BM-232_2_DSCF0065.jpg,Animals,Animals,0.8426,True
_Field Lina 08_BM-232_2_DSCF0068.jpg,Animals,Animals,0.9164,True
_Field Lina 08_BM-232_2_DSCF0132.jpg,Animals,Animals,0.9325,True
_Field Lina 08_BM-232_2_DSCF0138.jpg,Animals,Animals,0.945,True
_Field Lina 08_BM-232_2_DSCF0166.jpg,Animals,Animals,0.9307,True
_Field Lina 09_BM-182_1_DSCF0313.jpg,Animals,Animals,0.9952,True
_Field Lina 09_BM-182_1_DSCF0318.jpg,Animals,Animals,0.9799,True
_Field Lina 09_BM-182_1_DSCF0323.jpg,Animals,Animals,0.9811,True
_Field Lina 09_BM-211_1_DSCF0032.jpg,Animals,Animals,0.9012,True
_Field Lina 09_BM-211_1_DSCF0040.jpg,Animals,Animals,0.8857,True
_Field Lina 09_BM-211_1_DSCF0047.jpg,Animals,Animals,0.9217,True
_Field Lina 09_BM-211_1_DSCF0063.jpg,Animals,Animals,0.9188,True
_Field Lina 09_BM-211_1_DSCF0076.jpg,Animals,Animals,0.9902,True
_Field Lina 09_BM-238_1_DSCF0349.jpg,Animals,Animals,0.6789,True
_Field Lina 09_BM-238_1_DSCF0384.jpg,Animals,Animals,0.6266,True
_Field Lina 09_BM-238_1_DSCF0385.jpg,Animals,Animals,0.638,True
_Field Lina 09_BM-238_1_DSCF0392.jpg,Animals,Animals,0.763,True
_Field Lina 09_BM-238_1_DSCF0645.jpg,Animals,Animals,0.9099,True
_Field Lina 09_BM-238_1_DSCF0646.jpg,Animals,Animals,0.8088,True
_Field Lina 09_BM-238_1_DSCF0648.jpg,Animals,Animals,0.78,True
_Field Lina 09_BM-238_1_DSCF0696.jpg,Animals,Animals,0.5983,True
_Field Lina 09_BM-238_1_DSCF0704.jpg,Animals,Animals,0.6872,True
_Field Lina 09_BM-238_1_DSCF0714.jpg,Animals,Animals,0.6663,True
_Field Lina 09_BM-238_1_DSCF0740.jpg,Animals,Animals,0.5318,True
_Field Lina 09_BM-238_1_DSCF0742.jpg,Animals,Animals,0.5352,True
_Field Lina 09_BM-238_1_DSCF0758.jpg,Animals,Animals,0.6543,True
_Field Lina 09_BM-238_1_DSCF0760.jpg,Animals,Animals,0.5582,True
_Field Lina 09_BM-238_1_DSCF0779.jpg,Animals,Animals,0.9934,True
_Field Lina 09_BM-253_1_DSCF2344.jpg,Animals,Animals,0.8457,True
_Field Lina 09_BM-253_1_DSCF2354.jpg,Animals,Animals,0.8702,True
_Field Lina 09_BM-253_1_DSCF2356.jpg,Animals,Animals,0.802,True
_Field Lina 09_BM-253_1_DSCF2358.jpg,Animals,Animals,0.8983,True
_Field Lina 09_BM-253_1_DSCF2361.jpg,Animals,Animals,0.9063,True
_Field Lina 09_BM-253_1_DSCF2373.jpg,Animals,Animals,0.9084,True
_Field Lina 09_BM-253_1_DSCF2385.jpg,Animals,Animals,0.9205,True
_Field Lina 09_BM-253_1_DSCF2404.jpg,Animals,Animals,0.7911,True
_Field Lina 09_BM-253_1_DSCF2411.jpg,Animals,Animals,0.9281,True
_Field Lina 09_BM-253_1_DSCF2423.jpg,Animals,Animals,0.9612,True
_Field Lina 09_BM-253_1_DSCF2436.jpg,Animals,Animals,0.9819,True
_Field Lina 09_BM-253_1_DSCF2446.jpg,Animals,Animals,0.921,True
_Field Lina 09_BM-253_1_DSCF2476.jpg,Animals,Animals,0.9236,True
_Field Lina 09_BM-253_1_DSCF2480.jpg,Animals,Animals,0.9582,True
_Field Lina 09_BM-253_1_DSCF2481.jpg,Animals,Animals,0.9617,True
_Field Lina 09_BM-253_1_DSCF2535.jpg,Animals,Animals,0.9562,True
_Field Lina 09_BM-253_1_DSCF2544.jpg,Animals,Animals,0.8754,True
_Field Lina 09_BM-253_1_DSCF2553.jpg,Animals,Animals,0.947,True
_Field Lina 09_BM-253_1_DSCF2566.jpg,Animals,Animals,0.832,True
_Field Lina 09_BM-253_1_DSCF2580.jpg,Animals,Animals,0.9023,True
_Field Lina 09_BM-253_1_DSCF2581.jpg,Animals,Animals,0.9534,True
_Field Lina 09_BM-253_1_DSCF2613.jpg,Animals,Animals,0.6972,True
_Field Lina 09_BM-253_1_DSCF2618.jpg,Animals,Animals,0.7318,True
_Field Lina 09_BM-253_1_DSCF2632.jpg,Animals,Animals,0.8422,True
_Field Lina 09_BM-253_1_DSCF2637.jpg,Animals,Animals,0.8279,True
_Field Lina 09_BM-253_1_DSCF2638.jpg,Animals,Animals,0.8884,True
_Field Lina 09_BM-253_1_DSCF2645.jpg,Animals,Animals,0.9088,True
_Field Lina 09_BM-253_1_DSCF2654.jpg,Animals,Animals,0.9611,True
_Field Lina 09_BM-253_1_DSCF2693.jpg,Animals,Animals,0.928,True
_Field Lina 09_BM-253_1_DSCF2701.jpg,Animals,Animals,0.9702,True
